,Node 1,Node 2,R (% on 100MVA),X (% on 100MVA),B (% on 100MVA),Winter Rating (MVA),Dataframe,Node 1 bus_id,Node 2 bus_id,Voltage (kV) Node 1,Voltage (kV) Node 2,Year,Status
150,CREB41,CREB12,0.1621,8.0984,-0.0747,253,nget_tx,171,169,400,132,,
151,CREB41,CREB21,0.0176,1.5826,-0.1148,750,nget_tx,171,170,400,275,,
152,CREB41,CREB21,0.0176,1.5826,-0.1148,750,nget_tx,171,170,400,275,,
153,CREB41,CREB22,0.0176,1.5826,-0.1148,750,nget_tx,171,167,400,275,,
154,CREB41,CREB22,0.0176,1.5826,-0.1148,750,nget_tx,171,167,400,275,,
155,DIDC41,MILP31,0.20873333333333333,15.2319,-0.2971,150,nget_tx,178,452,400,33,,
156,DIDC41,MILP31,0.20993333333333333,15.2986,-0.2971,150,nget_tx,178,452,400,33,,
157,DRAK41,DRAK11,0.1303,7.8698,-0.4285,278,nget_tx,184,182,400,132,,
158,DRAK41,DRAK11,0.1044,7.881,-0.0832,240,nget_tx,184,182,400,132,,
159,DRAK41,DRAK21,0.0178,1.5995,-1.2431,849,nget_tx,184,183,400,275,,
160,DRAX41,DRAX11,0.1658,8.4025,-1.5604,277,nget_tx,186,187,400,132,,
161,DRAX41,DRAX11,0.1658,8.4025,-1.5604,274,nget_tx,186,187,400,132,,
162,DRAX42,CAML61,0.2216,14.1082,-0.1552,180,nget_tx,185,108,400,66,,
163,DRAX42,CAML61,0.2216,14.1082,-0.1552,180,nget_tx,185,108,400,66,,
164,DUNG41,DUNG21,0.017,1.6132,-5.1203,750,nget_tx,189,188,400,275,,
165,DUNG41,DUNG21,0.017,1.6132,-5.1203,750,nget_tx,189,188,400,275,,
166,EALI21,EALI61,0.3062,11.0235,-0.4552,134,nget_tx,191,190,275,66,,
167,EALI21,EALI61,0.3062,11.0235,-0.4552,134,nget_tx,191,190,275,66,,
168,EALI21,EALI61,0.3062,11.0235,-0.4552,126,nget_tx,191,190,275,66,,
169,EALI21,EALI61,0.3062,11.0235,-0.4552,126,nget_tx,191,190,275,66,,
170,EASO41,EASO12,0.103,7.9231,-0.0638,263,nget_tx,199,197,400,132,,
171,EASO41,LITB11,0.1018,7.841,-0.432,240,nget_tx,199,408,400,132,,
172,EASO4A,EASO11,0.103,7.9231,-0.0638,263,nget_tx,200,198,400,132,,
173,ECLA41,ECLA11,0.1175,8.6648,-0.4173,264,nget_tx,193,194,400,132,,
174,ECLA41,ECLA11,0.1175,8.6648,-0.4173,263,nget_tx,193,194,400,132,,
175,ECLA41,ECLA12,0.1139,8.1036,-2.059,278,nget_tx,193,195,400,132,,
176,ECLA41,ECLA12,0.0997,8.0088,-0.093,264,nget_tx,193,195,400,132,,
177,ELLA21,ELLA11,0.1221,8.0467,-0.0391,272,nget_tx,204,203,275,132,,
178,ELLA21,ELLA11,0.1681,8.3396,-1.4878,198,nget_tx,204,203,275,132,,
179,ELLA21,ELLA12,0.1221,8.0467,-0.0391,279,nget_tx,204,205,275,132,,
180,ELLA21,ELLA12,0.1722,8.4551,-0.2968,211,nget_tx,204,205,275,132,,
181,ELST21,ELST12,0.1221,8.0467,-0.0391,240,nget_tx,209,207,275,132,,
182,ELST21,ELST13,0.1985,8.1167,-0.4624,189,nget_tx,209,206,275,132,,
183,ELST21,ELST13,0.1954,8.0796,-0.2295,180,nget_tx,209,206,275,132,,
184,ELST22,ELST11,0.1031,8.1045,-0.0494,212,nget_tx,210,212,275,132,,
185,ELST22,ELST11,0.1923,8.081,-1.4418,187,nget_tx,210,212,275,132,,
186,ELST41,ELST12,0.1039,7.8456,-0.9345,240,nget_tx,213,207,400,132,,
187,ELST41,ELST22,0.0181,1.5835,-3.6502,1100,nget_tx,213,210,400,275,,
188,ELST4B,ELST21,0.0176,1.5828,-0.1018,1137,nget_tx,211,209,400,275,,
189,ENDE41,ENDE11,0.1303,7.8698,-0.4285,278,nget_tx,215,214,400,132,,
190,ENDE41,ENDE11,0.1118,8.3874,-0.0906,278,nget_tx,215,214,400,132,,
191,ENDE41,ENDE11,0.1658,8.4025,-1.5604,274,nget_tx,215,214,400,132,,
192,ENDE41,ENDE11,0.1658,8.4025,-1.5604,273,nget_tx,215,214,400,132,,
193,EXET41,EXET11,0.1307,7.9515,-0.1098,278,nget_tx,216,217,400,132,,
194,EXET41,EXET11,0.1509,8.2849,-0.3279,278,nget_tx,216,217,400,132,,
195,EXET41,EXET11,0.1509,8.2849,-0.3279,269,nget_tx,216,217,400,132,,
196,FAWL41,FAWL11,0.1509,7.9231,-0.5982,268,nget_tx,219,218,400,132,,
197,FAWL41,FAWL11,0.1509,7.9231,-0.5982,268,nget_tx,219,218,400,132,,
198,FAWL41,FAWL11,0.1509,7.9231,-0.5982,268,nget_tx,219,218,400,132,,
199,FECK21,FECK61,0.3142,15.7855,-1.1826,139,nget_tx,222,221,275,66,,
200,FECK41,FECK21,0.0151,1.6372,-0.0621,1100,nget_tx,220,222,400,275,,
201,FECK41,FECK61,0.1832,14.0317,-0.1803,199,nget_tx,220,221,400,66,,
202,FECK41,FECK61,0.1867,13.8218,-0.1803,194,nget_tx,220,221,400,66,,
203,FECK41,FECK61,0.1867,13.8218,-0.1803,194,nget_tx,220,221,400,66,,
204,FERR21,FERR11,0.1147,8.673,-0.0358,278,nget_tx,231,224,275,132,,
205,FERR21,FERR61,0.237,10.8633,-0.263,204,nget_tx,231,229,275,66,,
206,FERR23,FERR11,0.1147,8.673,-0.0358,278,nget_tx,230,224,275,132,,
207,FERR23,FERR61,0.237,10.8633,-0.263,180,nget_tx,230,229,275,66,,
208,FERR2A,FERR11,0.0918,8.7537,-0.0575,278,nget_tx,225,224,275,132,,
209,FERR4A,FERR22,0.0133,1.5936,-1.2059,1100,nget_tx,228,226,400,275,,
210,FERR4A,FERR23,0.0186,1.5729,-7.729,1113,nget_tx,228,230,400,275,,
211,FIDF21,FIDF11,0.1392,8.4361,-0.781,271,nget_tx,235,236,275,132,,
212,FIDF21,FIDF12,0.1594,8.6081,-0.2215,261,nget_tx,235,234,275,132,,
213,FLEE41,FLEE11,0.1557,8.3736,-0.4146,279,nget_tx,237,239,400,132,,
214,FLEE41,FLEE11,0.1368,8.5406,-0.262,240,nget_tx,237,239,400,132,,
215,FLEE41,FLEE11,0.1372,8.0197,-0.1238,240,nget_tx,237,239,400,132,,
216,FLEE41,FLEE11,0.1557,8.3736,-0.4146,240,nget_tx,237,239,400,132,,
217,FLEE41,FLEE12,0.1557,8.3736,-0.4146,300,nget_tx,237,238,400,132,,
218,FLEE41,FLEE12,0.1557,8.3736,-0.4146,279,nget_tx,237,238,400,132,,
219,FLEE41,FLEE12,0.1557,8.3736,-0.4146,279,nget_tx,237,238,400,132,,
220,FOUR21,FOUR31,0.306,19.9977,-0.5499,100,nget_tx,244,245,275,33,,
