,Node 1,Node 2,OHL Length (km),Cable Length (km),Circuit Type,R (% on 100MVA),X (% on 100MVA),B (% on 100MVA),Winter Rating (MVA),Spring Rating (MVA),Summer Rating (MVA),Autumn Rating (MVA),Dataframe,Node 1 bus_id,Node 2 bus_id,Voltage (kV) Node 1,Voltage (kV) Node 2
323,GRSA21,LACK2B,1.016,0.15,Composite,0.0049,0.0466,1.8737,1129.0,1119.0,1000.0,1000.0,nget_circuits,271,384,275.0,275.0
324,GRSA21,WILT2A,0.0,1.0,Cable,0.0,0.011,0.0,207.0,196.0,183.0,196.0,nget_circuits,271,829,275.0,275.0
325,GRSA21,WILT2B,0.0,1.0,Cable,0.0,0.011,0.0,207.0,198.0,185.0,198.0,nget_circuits,271,827,275.0,275.0
326,GRSB21,LACK2B,0.63,0.15,Composite,0.0031,0.0298,1.7716,1129.0,1119.0,1000.0,1000.0,nget_circuits,272,384,275.0,275.0
327,GRSB21,LACK2C,0.63,0.15,Composite,0.0031,0.0298,1.7716,1129.0,1119.0,1000.0,1000.0,nget_circuits,272,383,275.0,275.0
328,GRSB21,WILT2C,0.0,1.0,Cable,0.0,0.011,0.0,198.0,198.0,180.0,180.0,nget_circuits,272,826,275.0,275.0
329,GRSB21,WILT2D,0.0,1.0,Cable,0.0,0.011,0.0,206.0,204.0,190.0,204.0,nget_circuits,272,828,275.0,275.0
330,HACK2A,TOTT2B,5.754,0.292,Composite,0.0268,0.2517,4.735,1093.0,1031.0,926.0,1031.0,nget_circuits,278,722,275.0,275.0
331,HACK2B,TOTT2A,5.754,0.292,Composite,0.0268,0.2517,4.735,1093.0,1031.0,926.0,1031.0,nget_circuits,281,720,275.0,275.0
332,HACK41,HIBU41,0.0,6.858,Cable,0.0043,0.0827,72.4072,1770.0,1730.0,1600.0,1730.0,nget_circuits,282,313,400.0,400.0
333,HACK41,HIBU41,0.0,6.858,Cable,0.0043,0.0827,72.4072,1770.0,1730.0,1600.0,1730.0,nget_circuits,282,313,400.0,400.0
334,HACK41,WHAM41,0.0,6.148,Cable,0.0049,0.0904,101.6264,1857.0,1729.0,1587.0,1729.0,nget_circuits,282,796,400.0,400.0
335,HACK41,WHAM41,0.0,6.148,Cable,0.0049,0.0904,101.6264,1857.0,1729.0,1587.0,1729.0,nget_circuits,282,796,400.0,400.0
336,HAMB4A,HEYS41,25.85,0.0,OHL,0.0229,0.444,17.3733,3326.0,3299.0,3098.0,3299.0,nget_circuits,283,309,400.0,400.0
337,HAMB4A,PEWO41,19.698,0.752,parallel Composite,0.0308,0.3917,24.9792,2473.0,2473.0,2189.0,2189.0,nget_circuits,283,540,400.0,400.0
338,HAMB4A,STAH4A,3.926,0.0,OHL,0.0085,0.0806,2.1967,240.0,240.0,240.0,240.0,nget_circuits,283,657,400.0,400.0
339,HAMB4B,HEYS41,26.02,0.0,OHL,0.0231,0.4469,17.4871,3326.0,3326.0,3111.0,3326.0,nget_circuits,284,309,400.0,400.0
340,HAMB4B,PEWO41,19.698,0.592,parallel Composite,0.0308,0.3911,20.9006,2473.0,2473.0,2189.0,2189.0,nget_circuits,284,540,400.0,400.0
341,HAMB4B,STAH4B,3.926,0.0,OHL,0.0085,0.0806,2.1967,240.0,240.0,240.0,240.0,nget_circuits,284,656,400.0,400.0
342,HAMH1A,LEMR11,0.0,1.0,Cable,0.016,0.098,1.942,30.0,30.0,30.0,30.0,nget_circuits,287,392,132.0,132.0
343,HAMH1B,LEMR11,0.0,1.0,Cable,0.027,0.129,0.42400099999999996,30.0,30.0,30.0,30.0,nget_circuits,286,392,132.0,132.0
344,HAMH2A,NECH21,10.439,0.0,OHL,0.0239,0.3843,3.2511,1362.0,1285.0,1202.0,1285.0,nget_circuits,288,460,275.0,275.0
345,HAMH41,WILE41,84.14,0.7,Composite,0.1206,1.5777,77.2944,2009.0,1912.0,1746.0,1912.0,nget_circuits,285,825,400.0,400.0
346,HARK21,HARK21,0.0,0.05,Cable,0.0001,0.0013,0.258,953.0,953.0,953.0,953.0,nget_circuits,291,291,275.0,275.0
347,HARK21,HARK23,0.0,0.0,SSSC,0.0,0.3174,0.0,1521.0,1461.0,1361.0,1461.0,nget_circuits,291,295,275.0,275.0
348,HARK21,HARK24,0.0,0.0,SSSC,0.0,1.8512,0.0,1524.0,1524.0,1524.0,1524.0,nget_circuits,291,292,275.0,275.0
349,HARK23,STEW21,83.682,0.117,Composite,0.4944,3.549,23.7211,774.0,774.0,676.0,676.0,nget_circuits,295,666,275.0,275.0
350,HARK41,HUTT42,81.444,0.0,OHL,0.1269,1.564,48.8314,2771.0,2771.0,2771.0,2771.0,nget_circuits,289,325,400.0,400.0
351,HARK41,HUTT43,81.444,0.0,OHL,0.1269,1.564,48.8314,2771.0,2771.0,2771.0,2771.0,nget_circuits,289,327,400.0,400.0
352,HARM21,HATL21,13.983,0.0,OHL,0.0472,0.5702,3.9648,1093.0,1031.0,925.0,1031.0,nget_circuits,300,298,275.0,275.0
353,HARM21,HAWP21,17.287,0.0,OHL,0.0584,0.7033,4.9126,1204.0,1115.0,1018.0,1115.0,nget_circuits,300,302,275.0,275.0
354,HATL21,HAWP2A,31.443,0.0,OHL,0.1066,1.2811,8.9228,1093.0,1031.0,926.0,1031.0,nget_circuits,298,304,275.0,275.0
355,HATL21,SALH21,7.794,0.0,OHL,0.0327,0.3353,2.0878,1382.0,1279.0,1157.0,1279.0,nget_circuits,298,602,275.0,275.0
356,HATL21,TODP21,18.433,0.0,OHL,0.0713,0.7756,5.0465,1381.0,1279.0,1157.0,1279.0,nget_circuits,298,718,275.0,275.0
357,HATL21,WBOL21,49.164,0.0,OHL,0.1929,2.0384,13.6728,1093.0,1031.0,926.0,1031.0,nget_circuits,298,774,275.0,275.0
358,HAWP21,NORT21,30.238,0.459,Composite,0.0719,1.1367,14.2369,908.0,874.0,720.0,801.0,nget_circuits,302,486,275.0,275.0
359,HAWP21,OFFE21,9.514,0.0,OHL,0.0379,0.3948,2.6412,1093.0,1031.0,925.0,1031.0,nget_circuits,302,504,275.0,275.0
360,HAWP2A,WBOL21,17.721,0.0,OHL,0.0705,0.7355,4.9196,1180.0,1120.0,1020.0,1120.0,nget_circuits,304,774,275.0,275.0
361,HAWP4A,NORT41,30.157,0.0,OHL,0.0335,0.531,19.6771,2545.0,2421.0,2211.0,2421.0,nget_circuits,301,484,400.0,400.0
362,HEDO21,SAES21,0.605,0.0,OHL,0.0017,0.0226,0.1876,1749.0,1664.0,1520.0,1664.0,nget_circuits,306,601,275.0,275.0
363,HEYS41,MIDL41,0.9,0.0,OHL,0.0008,0.0155,0.6049,3326.0,3160.0,2971.0,3160.0,nget_circuits,309,438,400.0,400.0
364,HEYS41,QUER4B,9.604,0.0,OHL,0.0085,0.165,6.4553,3326.0,3299.0,3098.0,3299.0,nget_circuits,309,558,400.0,400.0
365,HIBU41,SJOW41,0.0,5.814,Cable,0.0037,0.0701,61.3846,1770.0,1730.0,1600.0,1730.0,nget_circuits,313,650,400.0,400.0
366,HIBU41,SJOW41,0.0,5.814,Cable,0.0037,0.0701,61.3846,1770.0,1730.0,1600.0,1730.0,nget_circuits,313,650,400.0,400.0
367,HIGM21,THUR2A,46.867,0.0,OHL,0.492,1.9585,12.7959,626.0,591.0,535.0,591.0,nget_circuits,310,700,275.0,275.0
368,HIGM41,WBUR41,14.852,0.229,Composite,0.0254,0.2958,13.2571,2212.0,2125.0,1979.0,2125.0,nget_circuits,311,778,400.0,400.0
369,HIGM4A,STOB41,39.671,0.0,OHL,0.0722,0.7893,22.9886,2147.0,2056.0,1904.0,2056.0,nget_circuits,312,670,400.0,400.0
370,HINP41,MELK41,86.136,0.0,OHL,0.1564,1.7133,49.9342,2009.0,1911.0,1746.0,1911.0,nget_circuits,315,437,400.0,400.0
371,HINP41,SAFO41,26.571,8.99,Composite,0.0421,0.5575,219.4497,2009.0,1911.0,1746.0,1911.0,nget_circuits,315,607,400.0,400.0
372,HINP41,SHUR41,1.2,0.0,OHL,0.002,0.0238,0.6985,3100.0,3050.0,2960.0,3050.0,nget_circuits,315,626,400.0,400.0
373,HINP41,TAUN42,26.613,0.0,OHL,0.0484,0.5295,15.421,2212.0,2125.0,1979.0,2125.0,nget_circuits,315,686,400.0,400.0
374,HUMR41,KILL41,2.879,0.0,OHL,0.0032,0.0543,1.7706,2771.0,2771.0,2771.0,2771.0,nget_circuits,317,367,400.0,400.0
