Node,Space,23/24,24/25,25/26,26/27,27/28,28/29,29/30,30/31
TAYN1Q,,498,527,525,551,583,617,650,687
TAYN1R,,276,250,235,235,219,224,214,221
TELR1Q,,107,109,110,113,117,121,126,133
TELR1R,,375,380,389,394,403,412,426,444
TEMP2A,,8,8,8,9,9,10,10,10
TEMP2B,,485,518,527,548,570,589,602,616
THOM20,,0,0,0,0,0,0,0,0
THUR20,,22,43,44,44,45,46,47,47
THUS10,,750,778,801,828,859,895,939,996
TILB20,,12,14,16,19,26,33,42,49
TILB40,,22,22,22,22,22,22,22,22
TINP2A,,0,0,0,0,-10,-20,-20,-20
TINP2B,,66,74,73,76,79,84,88,94
TODP20,,-4,-4,-4,-4,-4,-4,-4,-4
TONG10,,46,46,47,48,48,50,51,52
TOTT20,,22,23,24,34,35,35,36,37
TRAW20,,30,52,53,54,55,56,57,59
TUMB1Q,,56,124,126,128,131,135,139,144
TUMB1R,,11,21,30,40,49,59,69,79
TYNE20,,432,453,473,495,519,542,560,580
UPPB21,,21,22,23,24,25,27,28,31
UPPB22,,71,73,76,78,80,82,91,96
USKM20,,176,206,229,246,291,304,318,331
WALH40,,12,17,23,28,34,40,46,52
WALP40_EME,,9,10,11,12,13,15,16,18
WALP40_EPN,,97,99,102,105,108,111,115,121
WARL20,,22,23,24,34,35,35,36,37
WASF2A,,93,94,96,101,105,109,116,126
WASF2B,,24,28,32,37,91,95,99,103
WATS2A,,49,49,49,49,49,49,78,78
WATS2B,,22,22,22,22,22,22,22,22
WBOL20,,63,64,66,67,69,72,74,79
WBUR40,,507,549,609,561,584,602,614,623
WFIE1A,,605,614,620,639,653,663,676,716
WFIE1B,,216,227,247,271,304,333,360,389
WGEO2Q,,219,221,226,232,239,246,254,263
WGEO2R,,238,240,246,254,264,273,289,311
WHAM40,,5,6,7,8,9,9,9,9
WHGA20,,12,43,47,52,57,63,68,74
WHHO2Q,,302,305,296,255,264,272,275,274
WHHO2R,,196,217,241,251,261,272,376,484
WHSO20,,-4,-4,-4,-4,-4,-4,-4,-4
WHTL1S,,64,99,99,100,100,151,151,152
WHTL1T,,13,13,13,13,13,14,14,14
WIBA20,,22,43,44,44,45,46,47,47
WIEN2A,,45,72,74,76,78,80,82,85
WIEN2B,,252,281,288,293,302,308,322,342
WILE20,,0,0,0,0,0,0,158,158
WILE40,,-14,-14,-14,-14,-14,-14,-14,-14
WIMB20,,12,13,14,16,14,16,19,21
WIOW1Q,,129,130,132,136,140,145,151,159
WIOW1R,,11,21,30,40,49,59,69,79
WISD20_EPN,,23,32,31,34,37,41,45,49
WISD20_LPN,,23,32,31,34,37,41,45,49
WISD20_SEP,,-11,-11,-11,-11,-11,-11,-11,-11
WISH20,,163,164,166,168,171,176,182,190
WMEL20,,27,27,28,29,30,31,33,35
WOHI1Q,,177,180,186,194,205,215,226,236
WOHI1R,,202,209,220,225,231,238,247,262
WTHU4A,,476,482,491,502,522,534,560,592
WTHU4B,,537,603,655,663,721,782,831,890
WWEY20,,80,81,87,90,94,98,101,104
WYLF40,,30,52,53,54,55,56,57,59
WYMO40,,42,48,48,50,51,52,54,55
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
