Connection Site,etys_sub_map,HOST TO,Project ID,Project No
Cashlie GSP,0,SHET,a0l4L0000005iV6,PRO-000069
Cassley GSP,0,SHET,a0l4L0000005iXP,PRO-002137
Ceannacroc GSP,0,SHET,a0l4L0000005iV7,PRO-000070
Ceislien Wind Farm,0,SHET,a0l8e000000TPK3,PRO-003256
Cellarhead 132kV Substation,CELL1,NGET,a0l4L0000005iU7,PRO-001715
Cellarhead 132kV Substation,CELL1,NGET,a0l4L0000005iSP,PRO-000915
Cellarhead 132kV Substation,CELL1,NGET,a0l8e000000f6K5,PRO-003978
Cellarhead 400kV Substation,CELL4,NGET,a0l4L0000005izq,PRO-001045
Cellarhead 400kV Substation,CELL4,NGET,a0l4L0000005ikW,PRO-002161
Cellarhead 400kV Substation,CELL4,NGET,a0l4L0000005iem,PRO-001685
Cellarhead 400kV Substation,CELL4,NGET,a0l4L0000005ihj,PRO-001758
Cellarhead 400kV Substation,CELL4,NGET,a0l8e000000TPHx,PRO-003240
Cellarhead 400kV Substation,CELL4,NGET,a0l4L0000005iu3,PRO-002327
Chapelcross 132/33kV Substation,0,SPT,a0l4L0000005ib6,PRO-002031
Chapelcross 132/33kV Substation,0,SPT,a0l4L0000005iVI,PRO-000108
Chapelcross 132/33kV Substation,0,SPT,a0l8e0000010x0K,PRO-003034
Chapelcross 132/33kV Substation,0,SPT,a0l4L0000005iV4,PRO-000048
Chapelcross GSP,0,SPT,a0l4L0000005iVo,PRO-000236
Chessington 275kV Substation,CHSI2,NGET,a0l8e0000012gZ9,PRO-004420
Chesterfield 400kV Substation (Not yet constructed),CHTE4,NGET,a0l8e000000f4iJ,PRO-003861
Chesterfield GSP,CHTE1,NGET,a0l8e000000TPIb,PRO-003248
Chesterfield GSP,CHTE1,NGET,a0l8e000001Hpwk,PRO-004156
Chickerall B 400kV Substation,CHIC4,NGET,a0l8e000000f5Bs,PRO-003920
Chickerell 400kV Substation,CHIC4,NGET,a0l4L0000005ic6,PRO-002060
Chickerell 400kV Substation,CHIC4,NGET,a0l4L0000005ikq,PRO-002186-1
Chickerell 400kV Substation,CHIC4,NGET,a0l4L0000005ikq,PRO-002186-2
Chickerell 400kV Substation,CHIC4,NGET,a0l4L0000005ikq,PRO-002186-3
Chickerell 400kV Substation,CHIC4,NGET,a0l4L0000005iQ1,PRO-001279
Chickerell 400kV Substation,CHIC4,NGET,a0l4L0000005iw2,PRO-001598
Chickerell 400kV Substation,CHIC4,NGET,a0l4L0000005ibK,PRO-002046
Chirk 132kV,CHIR1,NGET,a0l8e0000010waC,PRO-002697
Chirk 400kV Substation,CHIR4,NGET,a0l8e000000f4Yv,PRO-003848
Chirk GSP,CHIR4,NGET,a0l4L0000005ik1,PRO-001589
Chirk GSP,CHIR4,NGET,a0l4L0000005iXX,PRO-001586
Chirk GSP,CHIR4,NGET,a0l4L0000005iUL,PRO-001584
Chirk GSP,CHIR4,NGET,a0l4L0000005iUK,PRO-001583
Chirk GSP,CHIR4,NGET,a0l4L0000005iRZ,PRO-001919
Chirk GSP,CHIR4,NGET,a0l4L0000005iUM,PRO-001585
Chirmorie 132/33kV Substation,0,SPT,a0l4L0000005inC,PRO-000094
